# Swift-BAT daily average light curve for 1A 0535+262                   
# Generated Wed Jul 14 11:05:52 UTC 2021
#
#     TIME           RATE          ERROR      YEAR          DAY     STAT_ERR        SYS_ERR   DATA_FLAG   TIMEDEL_EXPO     TIMEDEL_CODED  TIMEDEL_DITHERED
#       d        count/cm^2/s   count/cm^2/s   yr            d    count/cm^2/s   count/cm^2/s                s              s              s
      53414       0.00911224     0.00190981   2005          44     0.00161215     0.00031893      0     832.00000000   845.00000000   832.00000000
      53416       0.00022025     0.00088045   2005          46     0.00075378     0.00000771      0    4000.00000000  3967.75000000  1024.00000000
      53417      -0.01007676     0.00468349   2005          47     0.00399845    -0.00035269      0    3840.00000000   449.43750000     0.00000000
      53419       0.00837439     0.00252299   2005          49     0.00214547     0.00029310      0    5632.00000000   763.50000000     0.00000000
      53420      -0.00341748     0.00223081   2005          50     0.00190719    -0.00011961      0    2536.00000000   782.59375000     0.00000000
      53421       0.00412442     0.00216891   2005          51     0.00185282     0.00014435      0    2752.00000000   849.25000000     0.00000000
      53422       0.00185935     0.00283021   2005          52     0.00242248     0.00006508      0    1600.00000000   493.75000000     0.00000000
      53423       0.00977538     0.01057175   2005          53     0.00904641     0.00034214      0     216.00000000    43.03125000     0.00000000
      53424      -0.01197885     0.00644241   2005          54     0.00550407    -0.00041926      0     576.00000000   113.62500000     0.00000000
      53431      -0.00003413     0.00107447   2005          61     0.00091992    -0.00000119      0    5776.00000000  3614.25000000     0.00000000
      53432       0.00137113     0.00084127   2005          62     0.00071910     0.00004799      0   10728.00000000  5120.75000000    64.00000000
      53434       0.00097607     0.00202286   2005          64     0.00173166     0.00003416      0     912.00000000   816.37500000     0.00000000
      53435      -0.00144005     0.00044594   2005          65     0.00037935    -0.00005040      0   17840.00000000 16445.75000000    64.00000000
      53437       0.00250453     0.00083277   2005          67     0.00070903     0.00008766      0    5672.00000000  4784.12500000     0.00000000
      53438      -0.00036585     0.00065438   2005          68     0.00056015    -0.00001280      0    7632.00000000  7053.81250000     0.00000000
      53439      -0.00051395     0.00119855   2005          69     0.00102604    -0.00001799      0    3696.00000000  2694.25000000  3696.00000000
      53440       0.00809672     0.01655690   2005          70     0.01417335     0.00028339      2      72.00000000    17.29687500     0.00000000
      53441      -0.00313014     0.00252152   2005          71     0.00215680    -0.00010955      0    2664.00000000   719.59375000   128.00000000
      53442      -0.00055975     0.00193996   2005          72     0.00166084    -0.00001959      0    2496.00000000   954.00000000   320.00000000
      53444      -0.00112835     0.00082089   2005          74     0.00070200    -0.00003949      0   13032.00000000  6638.93750000  1608.00000000
      53445       0.00187659     0.00129315   2005          75     0.00110572     0.00006568      0    7400.00000000  2878.43750000     0.00000000
      53446       0.00640272     0.00331783   2005          76     0.00283412     0.00022410      0    2600.00000000   480.32812500   128.00000000
      53447      -0.00012174     0.00326742   2005          77     0.00279745    -0.00000426      0    1680.00000000   675.93750000  1680.00000000
      53449       0.00071629     0.00181679   2005          79     0.00155532     0.00002507      0    2904.00000000  1517.09375000     0.00000000
      53450       0.00072325     0.00074116   2005          80     0.00063418     0.00002531      0   14912.00000000  9191.43750000     0.00000000
      53452       0.00169111     0.00251728   2005          82     0.00215461     0.00005919      0    4016.00000000  1160.87500000     0.00000000
      53453       0.00074115     0.00133376   2005          83     0.00114170     0.00002594      0    8880.00000000  3652.35157180     0.00000000
      53454       0.00016137     0.00065640   2005          84     0.00056196     0.00000565      0    6816.00000000  6922.50000000   640.00000000
      53456       0.00085465     0.00157103   2005          86     0.00134482     0.00002991      0    5480.00000000  2673.73828125  5480.00000000
      53458       0.00150394     0.00095359   2005          88     0.00081518     0.00005264      0    6960.00000000  5274.37500000     0.00000000
      53470       0.00072968     0.00147733   2005         100     0.00126465     0.00002554      0   16064.00000000  2807.25000823  1024.00000000
      53471      -0.00263392     0.00228534   2005         101     0.00195503    -0.00009219      0   17912.00000000  2333.25013494     0.00000000
      53472       0.00375882     0.00241074   2005         102     0.00206091     0.00013156      0   12832.00000000  1714.77341366     0.00000000
      53474       0.00259585     0.00198256   2005         104     0.00169562     0.00009085      0   12272.00000000  2008.68116760   872.00000000
      53475      -0.00013971     0.00085913   2005         105     0.00073555    -0.00000489      0   20184.00000000  6546.49318135   960.00000000
      53476      -0.00037274     0.00101529   2005         106     0.00086918    -0.00001305      0    5144.00000000  3977.06250000  1816.00000000
      53477       0.00103144     0.00090484   2005         107     0.00077407     0.00003610      0    6176.00000000  4932.62500000   560.00000000
      53478       0.00130093     0.00085122   2005         108     0.00072774     0.00004553      0    7640.00000000  5952.43750000  2328.00000000
